"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805";1;"100nF";;;
2;"C2,C3";"CP_Elec_6.3x7.7";2;"22Î¼F";;;
3;"D1,D2,D4,D5";"D_SOD-123";4;"D";;;
4;"D3";"LED_0805";1;"LED";;;
5;"J1";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Biruta";;;
6;"J2";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Power";;;
7;"J3";"TerminalBlock_Phoenix_MPT-2.54mm_5pol";1;"BH1750-FVI";;;
8;"J4";"TerminalBlock_Phoenix_MPT-2.54mm_6pol";1;"BME280";;;
9;"J5";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Pluviometro";;;
10;"J6";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Anemometro";;;
11;"J7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"FTDI";;;
12;"J8,J9";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";2;"Conn_01x02";;;
13;"R1,R2,R3,R4,R5,R6,R7,R8,R14,R15,R16";"R_0805";11;"10K";;;
14;"R9,R10,R12,R13";"R_0805";4;"1.5K";;;
15;"R11";"R_0805";1;"330";;;
16;"SW1";"SW_Micro_SPST";1;"SW_Push_SPDT";;;
17;"SW2";"SW_PUSH_6mm";1;"SW_Push";;;
18;"SW3";"SW_Micro_SPST";1;"SW_SPDT";;;
19;"U1";"SOT-223";1;"AP1117-33";;;
20;"U2";"ESP32-WROOM";1;"ESP-32S";;;
